Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
"Individual suffered a seizure / CFD EMS responded, however, subject declined offer of medical treatment",Information,Closed,924 E. 57th St. (BSLC),2016-06-14,6/14/16 10:04 AM,16-00503,closed
Individual found a wallet while in Stuart Hall / Turned over to UCPD for safekeeping,Found Property,Closed,5835 S. Greenwood (Stuart Hall),2016-06-14,6/14/16 2:17 PM,16-00504,closed
"Unknown subject brushed against victim on the elevator / Upon exiting the elevator, the victim realized her cell phone had been taken from her pocket",Theft,Open,5758 S. Maryland (DCAM),2016-06-15,6/15/16 8:58 AM,16-00505,open
CPD officers responded to a call of shots fired off-campus found a victim shot in an alleyway / CFD EMS transported victim to hospital / CPD case,Information,CPD,6227 S. Cottage Grove (Alleyway),2016-06-15,6/15/16 9:22 PM,16-00507,cpd
Two prescription pill bottles taken from purse while owner slept in a chair in exam room / Complainant informed investigator she found her medication at home / No crime committed,Theft,Unfounded,901 E. 58th St. (Mitchell ER),2016-06-15,6/15/16 10:34 PM,16-00508,unfounded
"Two unknown suspects, one armed with a handgun, took a backpack from a victim walking on the sidewalk off-campus before fleeing northbound on S. Kenwood / Victim reported no injuries / Referred to CPD",Information,CPD,1342 E. 55th St. (Public Way),2016-06-15,6/15/16 11:39 PM,16-00509,cpd
"During a verbal dispute, patient's girlfriend threw a cup at victim resulting in a laceration to his chin / Suspect arrested by UCPD",Battery,Arrest,5841 S. Maryland (Mitchell Hospital),2016-06-16,6/16/16 10:27 AM,16-00510,arrested
Number generated in error,Void,Void,Void,NA,Void,16-00511,void
Bag left unattended on sidewalk taken by unknown person / Bag later recovered minus energy drink and medication,Theft,Open,5501 S. Ellis (Public Way),2016-06-16,6/16/16 7:06 PM,16-00512,open
"UCPD officer observed a motorist collide with a parked vehicle, a wrought iron fence and a city sign / Motorist was arrested and charged with DWI and other traffic citations",Traffic Incident,Arrest,941 E. 54th St.,2016-06-17,6/17/16 12:57 AM,16-00513,arrested
Individual reported losing his wallet somewhere in the vicinity of 60th & Drexel,Lost Property,Closed,6054 S. Drexel,2016-06-16,6/17/2016 9:26,16-00514,closed
Desktop computer taken from Stuart Hall library room 215,Theft,Open,5835 S. Greenwood (Stuart Hall),2016-06-10,6/17/16 10:51 AM,16-00515,open
As a result of a well-being check CPD officers found two people deceased in an off-campus private residence / CPD case HZ312763,Information,CPD,54th St. between Dorchester and Blackstone,2016-06-18,6/18/16 10:20 AM,16-00516,cpd
UCPD officers arrested a motorist for driving a vehicle that had been reported stolen in Romulus MI,Trespass,Arrest,5500 S. South Shore Dr.,2016-06-19,6/19/16 9:56 PM,16-00517,arrested
"iPhone taken from an unattended, unsecured book bag left in hallway",Theft,Open,924 E. 57th St. (BSLC),2016-06-20,6/20/16 12:37 PM,1-00518,open
Unknown suspect  distracted victim and took iPhone from table top,Theft,Open,Starbucks 865 E. 57th St.,2016-06-20,6/20/16 2:22 PM,16-00519,open
Car sideswiped a shuttle bus unloading passengers / Property damage only / No injuries reported MVA 2016-00099,Information,Closed,1501 E. 55th St.,2016-06-20,6/20/16 6:41 PM,16-00520,closed
Unknown person(s) entered and took property from an unsecured car parked on the street,Theft,Open,6050 S. Woodlawn,2016-06-18,6/21/16 10:41 AM,16-00521,open
iPad taken from unattended and unsecured back pack,Theft,Open,1100 E. 57th St. (Mansueto Library),2016-06-16,6/21/16 11:24 AM,16-00522,open
"Individual, after receiving prior oral and written notice banning him from University property, was arrested by UCPD officers for trespass",Trespass,Arrest,924 E. 57th St. (BSLC),2016-06-21,6/21/16 12:21 PM,16-00523,arrested
Secured bicycle taken from bike rack,Theft,Open,1155 E. 60th St.(Harris School Bike Rack),2016-06-21,6/22/16 4:27 AM,16-00524,open
Staff member reports losing wallet containing UC ID on CTA bus outside of the UCPD Patrol Area,Information,Closed,6045 S. Kenwood,2016-06-22,6/22/16 2:10 PM,16-00525,closed
"Two unknown suspects, one armed with a handgun, took property from a person walking on the sidewalk off-campus / Victim reported no injuries",Robbery,Open,5600 S. Kimbark (Public Way),2016-06-22,6/22/16 4:24 PM,16-00526,open
Victim provided information of domestic / dating violence over an extended period of time,Battery,Open,6031 S. Ellis (Granville-Grossman RH),2015-03-01,6/22/16 5:32 PM,16-00527,open
"Two unknown suspects, implying a weapon (no weapon seen), attempted to take a cell phone from a victim walking on the sidewalk / Victim ran before suspects could take property / CPD case HZ319143",Information,CPD,950 E. 61st St. (Public Way),2016-06-22,6/22/16 7:13 PM,16-00528,cpd
"Two unknown suspects, one armed with a knife, took an iPhone from a victim walking on the sidewalk off-campus / CPD case HZ313818",Information,CPD,5405 S. Kimbark (Public Way),2016-06-22,6/22/16 9:12 PM,16-00529,cpd
Items found on shuttle bus turned over to UCPD for safekeeping by First Transit staff member,Found Property,Closed,6054 S. Drexel,2016-06-22,6/23/16 12:51 PM,16-00530,closed
Suspect distracted victim and took cell phone from the table in café,Theft,Open,5757 S. Woodlawn (Plein Air Café),2016-06-23,6/23/16 5:09 PM,16-00531,open
Two unauthorized individuals were discovered in a secured area / Individuals given a trespass warning and escorted off the premises by UCPD officers,Trespass,Closed,5700 S. Ellis (Eckhardt Research Center),2016-06-23,6/23/16 5:37 PM,16-00532,closed
Two unknown suspects attempted to take a back pack from a victim walking on the sidewalk off-campus / Suspects fled without taking property / CPD case HZ320903,Information,CPD,51st & Cornell,2016-06-23,6/23/16 11:32 PM,16-00533,cpd
"Three unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus / Victims reported no injuries / CPD case HZ320940",Information,CPD,950 E. 53rd St.,2016-06-24,6/24/16 12:15 AM,16-00534,cpd
Number generated in error,Void,Void,Void,NA,Void,16-00535,void
Unattended iPhone taken from desk top in unsecured office,Theft,Open,1362 E. 59th St. (Lab School),2016-06-24,6/24/16 5:16 PM,16-00536,open
Individual became ill after ingesting an unknown substance and smoking marijuana at a party off-campus / Transported to ER by CFD EMS,Medical,Referred,Ellis between 53rd & 54th,2016-06-25,6/25/16 1:10 AM,16-00537,referred
Three unknown suspects forcibly took a back pack from a victim walking on the sidewalk off-campus / CPD case HZ322507,Information,CPD,5813 S. Blackstone (Public Way),2016-06-25,6/25/16 5:37 AM,16-00538,cpd
Number generated in error,Void,Void,Void,NA,Void,16-00539,void
Unknown person(s) forced entry to a private apartment off-campus via rear door / CPD case,Information,CPD,Kimbark between 57th & 58th,2016-06-24,6/25/16 10:40 AM,16-00540,cpd
Unknown person(s) forced entry to a private apartment off-campus via rear door / CPD case,Information,CPD,57th St. between Dorchester & Blackstone,2016-06-22,6/25/16 12:03 PM,16-00541,cpd
A box containing 15 rounds of rifle ammunition found by staff member emptying trash container / Turned over to UCPD for disposal,Found Property,Closed,929 E. 57th St. (Gordon Center),2016-06-27,6/27/16 7:26 AM,16-00542,closed
Individual reports loss of laptop computer / Last recalls seeing property in Cobb Hall,Lost Property,Closed,5811 S. Ellis (Cobb Hall),2016-06-24,6/27/16 7:47 AM,16-00543,closed
Bicycle secured to railing at off-campus private apartment building taken by unknown person / Referred to CPD,Theft,CPD,Woodlawn between 53rd & 54th,2016-06-26,6/27/16 1:06 PM,16-00544,cpd
3 visitors struck an individual with hands and fists  during the course of an argument in patient's room / Suspects fled before police arrived,Battery,Open,5815 S. Maryland (Mitchell Hospital),2016-06-27,6/27/16 7:58 PM,16-00545,open
Individual found shotgun shell on the ground off-campus / Turned over to UCPD for proper disposal,Found Property,Closed,5100 S. Ellis,2016-06-28,6/28/16 8:35 AM,16-00546,closed
Report generated in error,Void,Void,Void,NA,Void,16-00547,void
Report generated in error,Void,Void,Void,NA,Void,16-00548,void
"Parked, unoccupied UC owned vehicle struck by another motor vehicle / Property damage only / No injuries reported / 2016-MVA000101",Traffic Incident,Closed,850 E. 58th St.,2016-06-28,6/28/16 4:19 PM,16-00549,closed
"Suspect distracted victim and took cell phone from the table in café / Suspect identified, arrested and charged with felony theft on 7/27/16",Theft,Arrest,5700 S. Maryland (CCD-Qdoba Café),2016-06-28,6/28/16 7:54 PM,16-00550,arrested
"UCPD officers, subsequent to a traffic stop, detained motorist for CPD upon discovering the vehicle had been reported stolen to CPD / CPD case HZ326986",Assist Other Agency,CPD,6200 S. Harper,2016-06-29,6/29/16 10:17 AM,16-00551,cpd
Unknown person(s) cut locks at construction site and took construction tools and equipment / CPD case HZ327932,Theft,CPD,6300 S. University (Construction Site),2016-06-28,6/29/16 11:08 AM,16-00552,cpd
"Unattended, unsecured cell phone charger cord taken from lab workstation",Theft,Open,947 E. 58th St. (Abbott Memorial Hall),2016-06-16,6/29/16 10:41 AM,16-00553,open
Number generated in error,Void,Void,Void,NA,Void,16-00555,void
Parked UC owned vehicle sideswiped by another vehicle / Property damage only / No injuries reported / MVA00102,Traffic Incident,Closed,940 E. 57th St.,2016-07-01,7/1/16 12:53 PM,16-00557,closed
"Suspect being chased on foot by CPD officers, threw a handgun over the fence of the gated athletic field / UCPD arranged to have gate unlocked / Weapon recovered, suspect in custody of CPD / CPD HZ331695",Information,CPD,6052 S. Kenwood (Soccer Field),2016-07-01,7/1/16 6:28 PM,16-00558,cpd
Victim suffered a gunshot wound to the left leg as he walked with friends off-campus near the alley at 825 E. 62nd St. / Suspect(s) not seen / Transported to hospital by CFD EMS / CPD case HZ331878,Information,CPD,825 E. 62nd St. (Public Way),2016-07-01,7/1/16 8:54 PM,16-00559,cpd
Cash and ear phones found in UC owned vehicle / Inventoried for safekeeping,Found Property,Closed,6054 S. Drexel,2016-07-03,7/3/16 7:35 AM,16-00560,closed
UCPD officers detained a suspect who had pushed his girlfriend to the ground before fleeing in a car / Suspect arrested by CPD and charged with domestic battery / CPD case HZ335293,Battery,CPD,5220 S. Drexel (Public Way),2016-07-04,7/4/16 5:42 PM,16-00561,cpd
"A bullet, fired by unknown person, struck and damaged the overhead lights on UC owned vehicle off-campus",Information,Closed,6245 S. Ingleside (Public Way),2016-07-05,7/5/16 12:17 AM,16-00562,closed
"Victim, walking in alley off-campus, struck in the face by a shot fired by unknown person / Transported to hospital by CFD EMS / CPD case",Information,CPD,6243 S. Drexel (Alley),2016-07-05,7/5/16 12:17 AM,16-00563,cpd
Individual became ill after consuming alcohol and illegal drugs at a private residence off-campus / Transported to ER by CFD EMS,Information,Closed,Greenwood between 54th & 55th,2016-07-05,7/5/16 1:35 AM,16-00564,closed
Unknown individual seen breaking side window of unoccupied van parked on the street,Damage to Property,Open,969 E. 60th St. (Public Way),2016-07-05,7/5/16 11:02 AM,16-00565,open
Suspect forcibly took cash from a victim who had just exited the currency exchange / CPD case,Information,CPD,915 E. 63rd St. (Public Way),2016-07-05,7/5/16 10:57 AM,16-00566,cpd
"Unattended, unsecured wallet taken from desktop in unsecured office / Subsequent unauthorized use of credit card reported",Theft,Open,860 E. 59th St. (Goldblatt Pavilion),2016-07-05,7/5/16 2:01 PM,16-00567,open
Handgun taken from unattended vehicle parked in the parking structure / Previously reported to CPD,Theft,CPD,5840 S. Maryland (Parking Structure),2016-07-01,7/5/16 5:30 PM,16-00568,cpd
"UC owned vehicle stopped in traffic was rear-ended by another vehicle / Property damage only, no injuries reported / 2016-MVA00103",Information,Closed,5800 S. Stony Island,2016-07-06,7/6/16 8:35 AM,16-00569,closed
Staff member was notified that an unknown person attempted to obtain controlled substance with a forged prescription on N. Michigan Av. / CPD case,Information,CPD,950 E. 59th St. (Billings Hospital),2016-06-21,7/6/16 2:52 PM,16-00570,cpd
Individual called victim's phone numerous times looking for an unknown person / Suspect refused to cease calling,Harassment,Open,5640 S. University (Bartlett Commons),2016-07-03,7/6/16 3:26 PM,16-00571,open
Firearm was found in patient's room / Weapon confiscated / Suspect arrested by UCPD for illegal possession of firearm,Weapon Incident,Arrest,5815 S. Maryland (Mitchell Hospital),2016-07-06,7/6/16 2:25 PM,16-00572,arrested
"iPhone taken from unsecured, unattended bag",Theft,Open,5823 S. Kenwood (Sunny Gym),2016-07-06,7/6/16 5:51 PM,16-00573,open
A brown wallet was found in the building and turned over to UCPD for safekeeping,Found Property,Closed,1029 E. 57th St. (Anatomy),2016-07-06,7/6/16 8:23 PM,16-00574,closed
Unknown person(s) gained entry to private residence off-campus via unsecured rear window / Took electronics from the residence and car from the garage / CPD case HZ339043,Information,CPD,54th Pl. near Woodlawn,2016-07-07,7/7/16 8:02 AM,16-00576,cpd
"Patient reports cash missing from purse, but cannot recall if cash was given to a family member during her stay",Lost Property,Closed,5700 S. Maryland (CCD),2016-06-27,7/7/16 3:39 PM,16-00577,closed
Individual reported lab coat with stethoscope in pocket was missing from a coat rack containing several similar lab coats,Lost Property,Closed,5700 S. Maryland (CCD),2016-07-08,7/8/16 11:00 AM,16-00578,closed
Wallet found on bench in plaza / Turned over to UCPD for safekeeping / Owner notified,Found Property,Closed,970 E. 58th St. (Plaza),2016-07-08,7/8/16 3:14 PM,16-00579,closed
Owner found window broken in off-campus private residence / Cause unknown / Referred to CPD,Information,CPD,Woodlawn between 55th &56th,2016-07-08,7/8/16 3:34 PM,16-00580,cpd
UCPD officers arrested unauthorized subject for trespass to land and possession of a cell phone that had been taken in a theft,Trespass,Arrest,5835 S. Kenwood (Sunny Gym),2016-07-06,7/8/16 4:32 PM,16-00581,arrested
"Unknown person took cash from unattended, unsecured purse placed on bench in exam room",Theft,Open,5730 S. Drexel (Comer Hospital),2016-07-09,7/9/16 1:07 AM,16-00582,open
Investigation of suspicious telephone calls,Information,Open,5758 S. Maryland (DCAM),2016-07-06,7/9/16 11:41 AM,16-00583,open
Victim suffered a gunshot wound to the left shoulder as a result of a drive-by shooting off-campus / Transported to hospital by CFD EMS / CPD case HZ342371,Information,CPD,5402 S. Drexel (Public Way),2016-07-09,7/9/16 3:57 PM,16-00584,cpd
Officer reports body-worn camera damaged when it fell to the ground,Information,Closed,6202 S. Kimbark,2016-07-08,7/9/16 8:31 PM,16-00585,closed
Disturbed individual was causing a disturbance in a retail establishment / Transported to hospital by CFD EMS for evaluation and treatment,Mental Health,Closed,1530 E. 53rd St.,2016-07-09,7/9/16 8:19 PM,16-00586,closed
UCPD officers responding to a disturbance call arrested a suspect for unlawful possession of a handgun,Weapon Incident,Arrest,5036 S. Drexel,2016-07-10,7/10/16 12:33 AM,16-00587,arrested
Residence hall was evacuated due to a fire alarm / Alarm was triggered due to a faulty sensor in ComEd vault in basement / CFD responded,Fire,Closed,5630 S. University (Max Palevsky RH),2016-07-10,7/10/16 4:04 AM,16-00588,closed
Staff member found small package of marijuana and a pipe among patient's belongings / Turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2016-07-10,7/10/16 9:33 AM,16-00589,closed
UCPD officers detained a suspect who had entered off-campus private residence / Suspect turned over to CPD and arrested / CPD case HZ344098,Information,CPD,Ellis between 61st & 62nd,2016-07-11,7/11/16 4:30 AM,16-00590,cpd
"Two unknown suspects, one armed with a handgun, took an iPhone from a victim walking on the sidewalk off-campus / Victim reported no injuries CPD case HZ344135",Information,CPD,5000 S. Dorchester (Public Way),2016-07-11,7/11/16 6:58 AM,16-00591,cpd
Ill person transported to ER by CFD EMS for evaluation and treatment,Medical,Closed,5811 S. Ellis (Cobb Hall),2016-07-12,7/12/16 10:06 AM,16-00592,closed
First Transit personnel turned over wallet and cell phone found on Shuttle Bus to UCPD for safekeeping,Found Property,Closed,6054 S. Drexel,2016-07-11,7/12/16 1:41 PM,16-00593,closed
Secured bicycle taken from bike rack,Theft,Open,5730 S. Ellis (Crerar Bike Rack),2016-07-12,7/12/16 10:10 PM,16-00594,open
Individual injured leg while playing basketball / Transported to ER by CFD EMS for evaluation and treatment,Injury,Closed,5530 S. Ellis (Ratner A.C.),2016-07-13,7/13/16 6:42 PM,16-00595,closed
Bicycle secured to bike rack taken by unknown person,Theft,Open,5700 S. Ellis (Eckhardt Research Center Bike Rack),2016-07-13,7/13/16 6:24 PM,16-00596,open
Number generated in error,Void,Void,Void,NA,Void,16-00597,void
Individual reports cash missing from backpack,Lost Property,Closed,5530 S. Ellis (Ratner A.C.),2016-07-14,7/14/16 9:30 PM,16-00598,closed
Unknown person took wallet and cell phone from desk,Theft,Open,5706 S. University (Reynolds Club),2016-07-15,7/15/16 11:51 AM,16-00599,open
Individual found a wallet in the bookstore and turned it over to UCPD for safekeeping,Found Property,Closed,970 E. 58th St. (Bookstore),2016-07-15,7/15/16 1:29 PM,16-00600,closed
UCPD officer detained motorist involved in hit & run property damage accident that occurred at 53rd & Woodlawn / Turned over to CPD,Assist Other Agency,CPD,4900 S. Blackstone,2016-07-16,7/16/16 8:26 PM,16-00601,cpd
"2 victims, not affiliated with the University, suffered gunshot wounds as a result of a drive-by shooting off-campus /  One victim died at the scene, second victim transported to the hospital by CFD EMS / Red van seen speeding northbound on Ellis after the shooting / CPD case HZ352140",Information,CPD,4721 S. Ellis (Alley),2016-07-17,7/17/16 12:57 AM,16-00602,cpd
Secured bicycle taken from bike rack,Theft,Open,1101 E. 56th St. (Max Palevsky Bike Rack),2016-07-16,7/17/16 11:41 AM,16-00603,open
Unknown person(s) entered off-campus residence via unsecured basement window took computer and other electronics / CPD case,Information,CPD,Harper between 56th & 57th,2016-07-17,7/17/16 2:27 PM,16-00604,cpd
Contract employees arguing and causing a disturbance in break room / Peace restored,Information,Closed,5807 S. Woodlawn (Booth School),2016-07-18,7/18/16 1:09 PM,16-00605,closed
"iPhone taken from unattended, unsecured bag left in bleachers in gym",Theft,Open,5530 S. Ellis (Ratner A.C.),2016-07-18,7/18/16 9:12 PM,16-00607,open
Patient reports losing wallet while being transferred between rooms in the hospital,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),2016-07-16,7/19/16 12:16 AM,16-00608,closed
"Two unknown suspects, one armed with a handgun, took property from a victim leaving his residence off-campus / Victim reported no injuries / CPD case HZ354881",Information,CPD,Ellis near 62nd St.,2016-07-19,7/19/16 5:04 AM,16-00609,cpd
Unknown person(s) entered private off-campus residence via unsecured rear window and took two computers / CPD case HZ355235,Information,CPD,Kenwood between 57th& 58th,2016-07-19,7/19/16 11:20 AM,16-00610,cpd
Individual transported to hospital for evaluation and treatment,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Services),2016-07-19,7/19/16 12:02 PM,16-00611,closed
Individual found a key ring with 6 keys while in the Main Quad / Turned over to UCPD for safekeeping,Found Property,Closed,5800 S. Greenwood (Main Quad),2016-07-20,7/20/16 6:08 PM,16-00612,closed
"Unknown suspect, ran up to victim walking with a companion on the public way off-campus, fired a handgun striking the victim in the abdomen / Suspect fled on foot northbound on Woodlawn / Victim transported to the hospital by CFD EMS / CPD case HZ357543",Information,CPD,4915 S. Woodlawn (Public Way),2016-07-20,7/20/16 10:55 PM,16-00613,cpd
Unknown suspect took cell phone from table while distracting the victim,Theft,Open,5706 S. University (Reynolds Club),2016-07-21,7/21/16 12:12 PM,16-00614,open
UCPD and Chicago police responded to a call of shots fired off-campus in the area of 61st & Dorchester / No injured persons or property  damage found / No evidence of a shooting / CPD case,Information,CPD,61st & Dorchester,2016-07-21,7/21/16 5:36 PM,16-00615,cpd
Individual reports losing iPhone while in the Logan Center,Lost Property,Closed,915 E. 60th St. (Logan Center),2016-07-21,7/22/16 8:18 AM,16-00615,closed
"During the course of a domestic argument, patient's boyfriend hit her on the head with an open hand / Victim refused to prosecute",Battery,Ex. Cleared,5815 S. Maryland (Mitchell Hospital),2016-07-23,7/23/16 2:05 PM,16-00616,cleared
Secured bicycle taken from bike rack,Theft,Open,"1101 E, 56th St. (Max Palevsky RH Bike Rack)",2016-07-21,7/23/16 4:48 PM,16-00617,open
Set of keys found on a flower planter on the public way / Inventoried at UCPD for safekeeping,Found Property,Closed,5221 S. Harper (Public Way),2016-07-23,7/23/16 5:22 PM,16-00618,closed
Two unknown suspects snatched cell phone from the hand of a victim walking on the sidewalk off-campus and fled on foot / CPD case,Theft,CPD,5400 S. Ellis (Public Way),2016-07-23,7/23/16 6:42 PM,16-00619,cpd
Passenger riding in a vehicle off-campus suffered a gunshot wound to the torso when unknown person fired a shot into the vehicle / Suspect and motive unknown at this time / CPD case,Information,CPD,4600 S. Greenwood,2016-07-23,7/23/16 7:11 PM,16-00620,cpd
During the course of an argument one visitor struck another in the face / Suspect left hospital before police were called / CPD case HZ361562,Information,CPD,5700 S. Maryland (CCD),2016-07-23,7/23/16 7:41 PM,16-00621,cpd
"Unattended, unsecured laptop computer found in room 104 / Note left for owner / Turned over to UCPD for safekeeping",Found Property,Closed,5835 S. Greenwood (Stuart Hall),2016-07-23,7/23/16 8:46 PM,16-00622,closed
"As a result of an argument at a wedding reception, victim was struck on the head by one of the participants / Victim refused offer of medical assistance and refused to sign a complaint",Battery,Ex. Cleared,1155 E. 57th St. (Quadrangle Club),2016-07-24,7/24/16 12:31 AM,16-00623,cleared
Unknown person took victim's bicycle from rear porch of off-campus residence / CPD case,Theft,CPD,Kimbark between 57th & 58th,2016-07-22,7/24/16 9:20 AM,16-00624,cpd
"Unknown suspect pushed victim and took iPhone, in off-campus playlot, before fleeing on a bicycle accompanied by a companion  / CPD case HZ362258",Information,CPD,5641 S. Kimbark (Bixler Playlot),2016-07-24,7/24/16 11:28 AM,16-00625,cpd
Contract employee found a small baggie containing white powder (suspect narcotic) on floor in women's employee locker room / Inventoried at UCPD,Found Property,Closed,6025 S. Ellis (Cathey Dining Commons Locker Room),2016-07-24,7/24/16 2:51 PM,16-00626,closed
Individual found Acura car key in the street - Turned over to UCPD for safekeeping,Found Property,Closed,5900 S. Blackstone (Public Way),2016-07-25,7/25/16 7:58 AM,16-00627,closed
Unknown suspect riding bicycle snatched a cell phone from the hand of a victim walking on the sidewalk off-campus / Victim recovered phone when suspect fell from his bike while fleeing / CPD case HZ363379,Theft,CPD,1402 E. 55th St.,2016-07-25,7/25/16 9:41 AM,16-00628,cpd
"Laptop computer taken from unattended, unsecured book bag left on the floor / Suspect identified / Victim declined prosecution",Theft,Ex. Cleared,5823 S. Kenwood (Sunny Gym),2016-07-25,7/25/16 3:31 PM,16-00629,cleared
Tire and rim taken from bicycle secured to bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),2016-07-20,7/25/16 4:25 PM,16-00630,open
Secured bicycle taken from bike rack,Theft,Open,1029 E. 57th St. (Anatomy Bike Rack),2016-07-25,7/25/16 5:21 PM,16-00631,open
Book bag taken from unsecured locker in boy's locker room,Theft,Open,5835 S. Kenwood (Sunny Gym),2016-07-25,7/25/16 5:43 PM,16-00632,open
Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),2016-07-25,7/25/16 10:39 PM,16-00633,open
UCPD officer recovered a parked unoccupied vehicle that had been previously been reported stolen to CPD / CPD case HZ363346,Recovered Motor Vehicle,CPD,1132 E. 56th St.,2016-07-26,7/26/16 2:36 AM,16-00634,cpd
Damage discovered to front passenger's side wheel and tire of UC owned vehicle / Cause unknown at this time,Damage to Property,Closed,6054 S. Drexel,2016-07-22,7/26/16 10:48 AM,16-00635,closed
"3 individuals report cell phone and cash taken from unattended, unsecured back packs",Theft,Open,1212 E. 59th St. (Ida Noyes),2016-07-26,7/26/16 4:02 PM,16-00636,open
Victim walking off-campus was approached from the rear by two suspects and was thrown to the ground while his cell phone was taken from his hand / Suspects fled northbound on foot / Victim declined medical attention / CPD case HZ366330,Information,CPD,5445 S. Harper (Public Way),2016-07-27,7/27/16 7:41 AM,16-00637,cpd
Individual who was illegally soliciting patrons of café was detained by UCM Public Safety Officers / Suspect charged with trespass and also identified and charged with a previous felony theft of cell phone in the café on 6/28/16,Trespass,Arrest,5700 S. Maryland (CCD - Starbucks Café),2016-07-27,7/27/16 12:10 PM,16-00639,arrested
First Transit bus staff found cash on Shuttle Bus and turned it over to UCPD for safekeeping,Found Property,Closed,6054 S. Drexel,2016-07-27,7/27/16 4:18 PM,16-00640,closed
Number generated in error,Void,Void,Void,NA,Void,16-00641,void
UC Shuttle Bus involved in property damage crash / No injuries reported / MVA00117,Traffic Incident,Closed,6031 S. Ellis,2016-07-27,7/27/16 6:46 PM,16-00642,closed
Bicycle secured to bike rack taken by unknown person,Theft,Open,970 E. 58th St. (Bookstore Bike Rack),2016-07-28,7/28/16 6:57 PM,16-00643,open
"Victim walking on the sidewalk off-campus was approached by 2 unknown suspects, one armed with a weapon / Suspects demanded victim's property, but fled when they observed a police car on patrol / Suspects dropped weapon (air gun) recovered by police / CPD case HZ369236",Information,CPD,1354 E. 50th St. (Public Way),2016-07-29,7/29/16 7:38 AM,16-00644,cpd
Individual found wallet on the sidewalk / Turned over to UCPD for safekeeping,Found Property,Closed,5500 S. Ellis (Public Way),2016-07-29,7/29/16 4:58 PM,16-00645,closed
"2003 Dodge Caravan stolen from Edelstone parking lot / Unoccupied van recovered by Norridge, IL PD /",Theft,Open,6040 S. Ellis (Edelstone Parking Lot),2016-07-31,7/31/16 9:11 AM,16-00646,open
Individual fell from bicycle causing injury to face / Transported to ER by CFD EMS,Injury,Closed,6030 S. Ellis (Edelstone),2016-08-01,8/1/16 9:50 AM,16-00647,closed
Individual found a watch in Stout Park / Turned over to UCPD for safekeeping,Found Property,Closed,5446 S. Greenwood (Stout Park),2016-06-21,8/1/16 10:14 AM,16-00648,closed
"UC owned vehicle struck an intercom box in driveway / Property damage only, no injuries reported",Traffic Incident,Closed,920 E. 58th St. (Cummings),2016-08-01,8/1/16 12:29 PM,16-00649,closed
"Individual took several pairs of headphones from the store without paying / Suspect was arrested by UCPD officers on September 8, 2016 and charged with felony theft. (Ref. 16-00755)",Theft,Arrest,970 E. 58th St. (Bookstore),2016-07-28,8/1/16 2:02 PM,16-00650,arrested
Victim walking on the sidewalk off-campus struck by one of two suspects who took his property before fleeing in a waiting vehicle / Victim transported to ER by CFD EMS for treatment / CPD case HZ374454,Information,CPD,5055 S. Lake Shore Dr.,2016-08-01,8/1/16 9:53 PM,16-00651,cpd
Report of a missing package delivered by FedEx,Information,Closed,5482 S. Greenwood (Neighborhood Apts.),2016-07-13,8/1/16 10:59 PM,16-00652,closed
Secured bicycle taken from bike rack,Theft,Open,1101 E. 56th St. (Max Palevsky Bike Rack),2016-08-02,8/2/16 1:52 PM,16-00653,open
"Visitor tripped over her personal walker, fell to the floor causing injury to right leg / CFD EMS responded and administered first aid",Injury,Closed,1155 E. 58th St. (Oriental Institute),2016-08-02,8/2/16 4:44 PM,16-00654,closed
Individual lost Galaxy 6S phone while in the building,Lost Property,Closed,5807 S. Woodlawn (Booth School),2016-08-02,8/2/16 6:09 PM,16-00655,closed
UC Shuttle Bus involved in minor property damage traffic crash / No injuries reported,Traffic Incident,Closed,5714 S. Woodlawn,2016-08-02,8/2/16 6:22 PM,16-00656,closed
Ill person transported to the hospital by CFD EMS for evaluation and treatment,Medical,Closed,1101 E. 56th St. (Max Palevsky RH),2016-08-02,8/2/16 9:25 PM,16-00657,closed
An individual suffered a gunshot wound to the buttocks as a result of an apparent drive by shooting on the public way off-campus / A black sedan was seen leaving the scene / Victim transported to ER by CFD EMS / CPD case HZ375827,Information,CPD,5037 S. Drexel (Public Way),2016-08-02,8/2/16 10:03 PM,16-00658,cpd
UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HZ350292,Assist Other Agency,CPD,5334 S. Woodlawn,2016-08-03,8/3/16 3:57 AM,16-00659,cpd
Driver's side window of parked vehicle smashed,Damage to Property,Open,1300 E. Midway Pl.,2016-08-03,8/3/16 7:12 PM,16-00660,open
Secured bicycle taken from bike rack,Theft,Open,5730 S. Ellis (Crerar Library Bike Rack),2016-08-03,8/3/16 8:10 PM,16-00661,open
Unknown person took purse containing cell phone and other items from an off-campus establishment  / Cell phone later recovered on a CTA bus at 61st St. & Cottage Grove / Purse and other contents not recovered / CPD case,Theft,CPD,55th near Woodlawn (Tavern),2016-08-03,8/3/16 10:04 PM,16-00662,cpd
