Comments,Date,Disposition,Location,Occured,Reported,UCPDI
A subject threw a chair breaking a TV in the waiting room / Arrested by UCPD,Criminal Damage to Property,Arrest,5656 S. Maryland (UCMED),6/23/21 9:25 PM,6/23/21 9:44 PM,21-00362
Staff member found narcotics among patient's belongings / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),5/24/21 12:14 AM,6/24/21 12:14 AM,21-00363
Resident found a BB gun in home and turned it over to UCPD for disposal,Found Property,Closed,Greenwood between 54th & 55th,6/24/21 8:21 AM,6/24/21 8:21 AM,21-00364
Staff member reported a former student continues to call the Center after being dismissed from the program,Information,Closed,5020 S. Cornell (Hyde Park Art Center),6/24/21 8:35 AM,6/24/21 8:35 AM,21-00365
Secured John Deere electric powered utility vehicle taken from bike rack,Motor Vehicle Theft,Open,6025 S. Ellis (Cathey Dining Commons Bike Rack),6/17/21 to 6/24/21 10:00 AM to 10:15 AM,6/24/21 12:12 PM,21-00366
"Unattended, unsecured 2018 Toyota taken by unknown person off-campus / CPD case",Information / Motor Vehicle Theft,CPD,5300 S. Dorchester (Public Way),6/25/21 9:05 PM,6/25/21 9:11 PM,2021-023953
"UCPD officer recovered a parked, unoccupied vehicle that had been reported stolen to CPD / JE245425",Recovered Motor Vehicle,Closed,6100 S. Woodlawn,6/25/21 10:33 PM,6/25/21 10:33 PM,21-00368
Unknown person discharged a firearm on the street off-campus /  2 shell casings recovered / No injuries or property damage reported / CPD case JE279635,Information / Reckless Discharge of a Firearm,CPD,810 E. 62nd St. (Public Way),6/25/21 10:50 PM,6/25/21 10:52 PM,2021-023964
"2 unknown suspects, armed with a handgun, took property from a person sitting in their car off-campus / CPD case JE279640",Information / Armed Robbery,CPD,5500 S. Cornell (Public Way),6/25/21 10:50 PM,6/25/21 11:19 PM,2021-023967
"UCPD officer recovered an illegally parked, unoccupied vehicle that had been reported stolen to CPD / CPD case JE279585",Assist Other Agency / Recovered Motor Vehicle,CPD,5427 S. Ridgewood,6/26/21 3:18 AM,6/26/21 3:18 AM,21-00369
Patient's backpack was taken from secured locker room,Theft,Open,5700 S. Maryland (CCD),6/22/21 12:00 PM to 7:00 PM,6/26/21 9:46 AM,21-00370
Individual was transported to UCMED for evaluation,Mental Health Transport,Closed,Kenwood between 57th & 58th,6/26/21 11:22 AM,6/26/21 11:22 AM,21-00371
UCPD officer arrested a motorist for DUI,DUI,Arrest,1209 E. Midway Pl.,6/26/21 8:35 PM,6/26/21 8:35 PM,21-00372
Hit & run traffic crash documented,Traffic Crash / Property Damage,Closed,6000 S. University,6/26/21 7:08 PM,6/26/21 7:08 PM,21-00373
Person has received several harassing phone calls by someone they met online / Referred to CPD,Information / Telephone Harassment,Referred,Woodlawn between 54th & 55th,6/27/21 9:30 AM,6/27/21 9:30 AM,2021-024134
A person walking on the sidewalk off-campus suffered a gunshot wound to the left thigh / Domestic related shooting / CPD case,Information / Aggravated Battery,CPD,1507 E. 53rd St. (Public Way),6/28/21 1:40 AM,6/28/21 1:40 AM,2021-024212
A known person continues to send harassing email messages to victim / CPD case JE146745,Information / Harassment by Electronic Means,CPD,850 E. 61st St.,6/28/21 9:00 AM,6/28/21 9:13 AM,2021-024240
Secured bicycle taken from bike rack,Theft,Open,1130 E. 59th St. (Foster Hall Bike Rack),6/28/21 12:00 PM to 2:10 PM,6/28/21 2:19 PM,21-00374
Vehicle damaged fire extinguisher cabinet,Information / Traffic Crash,Closed,6054 S. Drexel (Parking Garage),6/28/21 3:20 PM,6/28/21 3:28 PM,21-00375
Secured bicycle taken from bike rack,Theft,Open,5640 S. Ellis (Eckhardt Res. Center Bike Rack),6/28/21  2:00 PM to 5:30 PM,6/28/21 5:38 PM,21-00376
Minor damage to UC owned vehicle documented,Information,Closed,850 E. 61st St. (UCPD HQ),6/30/21 7:29 AM,6/30/21 7:29 AM,21-00377
Patient struck staff member while being treated / Suspect was arrested and charged with battery on 7/1/21,Battery,Arrest,5700 S. Maryland (CCD),6/30/21 4:30 PM,6/30/21 4:34 PM,21-00378
Victim reported inappropriate touching during medical treatment / CPD case JE285372,Information / Criminal Sexual Abuse,CPD,5700 S. Maryland (CCD),6/29/21 to 6/30/21 11:55 PM to 12:05 AM,6/30/21 7:04 PM,21-00379
Ex-domestic partner struck victim and took property from victim while armed with a handgun / CPD case JE285451,Information / Armed Robbery,CPD,Lake Park between 45th & 46th,6/30/21 11:25 PM,6/30/21 11:30 PM,2021-024559
Two debit cards were found and turned over to UCPD for safekeeping,Found Property,Closed,5000 S. Dorchester (Public Way),7/1/21 7:13 PM,7/1/21 7:13 PM,21-00380
Minor damage to UC owned vehicle documented,Information,Closed,850 E. 61st St. (UCPD HQ),7/2/21 12:22 PM,7/2/21 2:08 PM,21-00381
UCPD officer arrested a motorist for DUI,DUI,Arrest,5900 S. Kimbark,7/4/21 2:10 AM,7/4/21 2:10 AM,21-00382
CFD extinguished a small trash fire in the street / Found to be debris from fireworks,Fire,Closed,5900 S. University (Public Way),7/5/21 12:25 AM,7/5/21 12:25 AM,21-00383
A visitor damaged patient's cell phone by throwing it to the floor / Victim refused to prosecute the known offender,Criminal Damage to Property,Ex. Cleared,5700 S. Maryland (CCD),7/5/21 12:40 AM,7/5/21 12:46 AM,21-00384
A suspect discharged a firearm and was arrested by CPD officers / Weapon recovered / No injuries or property damage reported / CPD case JE290518,Information / Unlawful Use of Weapon,CPD,5700 S. Drexel (Public Way),7/5/21 3:13 AM,7/5/21 3:15 AM,21-00385
Contractor's golf cart taken by unknown person,Motor Vehicle Theft,Open,5721 S. Maryland (Public Way),7/6/21  10:45 AM to 12:00 PM,7/6/21 12:23 PM,21-00386
"During a disagreement, suspect threatened victim and displayed a stun gun / Suspect arrested by UCPD and weapon recovered",Aggravated Assault,Arrest,5700 S. Maryland (CCD),7/6/21 12:40 PM,7/6/21 12:46 PM,21-00387
Suspicious parcel received was opened and found to contain harmless material,Information,Closed,5656 S. Maryland (UCMED),7/6/21 10:30 AM,7/6/21 1:28 PM,21-00388
Two tires taken from bicycle secured to bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),7/5/21 to 7/6/21 10:00 PM to 9:00 AM,7/6/21 4:59 PM,21-00389
Shell casing found in the street and turned over to UCPD,Found Property,Closed,5700 S. Maryland (Public Way),7/6/21 8:36 AM,7/6/21 8:36 AM,21-00390
Person reported lost wallet,Lost Property,Closed,5400 South Shore to 5700 S. Maryland,7/6/21 1:30 AM to 7:30 AM,7/6/21 8:38 PM,21-00391
Staff member found suspect narcotics among patient's belongings / Turned over to UCPD for proper disposal,Found Narcotics,Closed,5656 S. Maryland (UCMED),7/7/21 4:29 AM,7/7/21 4:29 AM,21-00392
Investigation regarding suspicious emails received,Information,Open,850 E. 61st St. (UCPD HQ),1/1/19 to 6/30/21,7/7/21 6:00 AM,21-00393
Unknown subject entered car parked on the street off-campus and took coins / Referred to CPD,Information / Theft from Motor Vehicle,Referred,5421 S. Drexel (Public Way),7/7/21 9:55 AM,7/7/21 9:55 AM,2021-025482
"Victim sitting in parked car off-campus, was forced from the vehicle by two suspects armed with a handgun / Suspects took victim's 2017 Cadillac / CPD case JE293439",Information / Aggravated Vehicular Hijacking,CPD,1401 E. 52nd St. (Public Way),7/7/21 1:50 PM,7/7/21 1:53 PM,2021-025506
Subject followed victim walking on the sidewalk off-campus and committed lewd exposure / CPD case,Information / Indecent Exposure,CPD,5107 S. Blackstone (Public Way),7/7/21 5:30 PM,7/7/21 5:34 PM,2021-025537
Cell phone found and turned over to UCPD for safekeeping,Found Property,Closed,Woodlawn & Midway Pl. (Public Way),7/8/21 12:11 PM,7/8/21 12:11 PM,21-00394
UCPD officer detained a suspect wanted by CPD for possessing a weapon / No weapon found / Suspect released,Assist Other Agency,Closed,5325 S. Cottage Grove,7/8/21 12:39 PM,7/8/21 12:39 PM,21-00395
A person found 12 rounds of ammunition left in his apartment by a previous occupant / Turned over to UCPD for disposal,Found Property,Closed,5600 S. Lake Park (Public Way),7/8/21 12:47 PM,7/8/21 12:47 PM,21-00396
Information relating to a disturbance in patient's room / Peace restored,Information,Closed,5700 S. Maryland (CCD),7/8/21 8:00 AM,7/8/21 3:55 PM,21-00397
Secured bicycle taken from bike rack,Theft,Open,5700 S. Maryland (CCD Bike Rack),7/8/21 7:20 AM to 8:30 PM,7/8/21 8:38 PM,21-00398
Parents took children from hospital without proper release / UCPD located parents and children and escorted them back to hospital,Information,Closed,5730 S. Drexel (Comer  Hospital),7/8/21 10:07 PM,7/8/21 10:07 PM,21-00399
Information regarding the receipt of suspicious emails,Information,Closed,5501 S. Ellis,7/1/21 to 7/4/21 12:00 AM to 9:45 PM,7/9/21 12:03 PM,21-00400
Person reported lost wallet,Lost Property,Closed,5758 S. Maryland (DCAM),7/9/21 11:30 AM to 11:35 AM,7/9/21 2:43 PM,21-00401
UCPD officers arrested a suspect for unlawful possession of a firearm by a felon / Charged with felony,Unlawful Possession of a Firearm,Arrest,1351 E. Madison Park (Public Way),7/9/21 5:45 PM,7/9/21 5:51 PM,21-00402
"A subject attempted to take vehicle from off-campus private garage, but failed to do so / CPD case JE296844",Information / Att. Motor Vehicle Theft,CPD,52nd St. between Maryland & Drexel,7/10/21 12:00 PM,7/10/21 12:03 PM,2021-025916
Unsecured bicycle taken from off-campus private building / Referred to CPD,Information / Theft,Referred,Woodlawn between 54th & 55th,6/4/21 to 7/9/21 3:00 PM to 7:00 PM,7/10/21 2:37 PM,2021-025930
Unsecured bicycle taken from off-campus private building / Referred to CPD,Information / Theft,Referred,Ridgewood Ct. between 54th & 55th,7/3/21 to 7/10/21 12:00 PM to 9:30 AM,7/10/21 4:52 PM,2021-025940
4 unknown suspects took merchandise from an off-campus store without paying / Referred to CPD,Information / Theft,Referred,5228 S. Lake Park,7/10/21 5:25 PM,7/10/21 5:26 PM,2021-025941
UC owned vehicle involved in property damage traffic crash / No injuries reported,Traffic Crash,Closed,1455 E. 56th St.,7/10/21 7:10 PM,7/10/21 7:10 PM,21-00403
Credit card found on the public way turned over to UCPD for safekeeping,Found Property,Closed,1355 E. 53rd St. (Public Way),7/11/21 1:04 PM,7/11/21 1:04 PM,21-00404
Unknown person discharged a firearm / One shell casing recovered / No injuries or property damage reported / CPD case JE298718,Information / Reckless Discharge of a firearm,CPD,6100 S. Cottage Grove (Public Way),7/12/21 10:45 AM,7/12/21 10:54 AM,2021-026153
UC Shuttle Bus supervisor turned in 2 sets of keys found on shuttle bus,Found Property,Closed,850 E. 61st St. (UCPD HQ),7/12/21 3:16 PM,7/12/21 3:16 PM,21-00405
Unknown person used complainant's DEA number in an attempt to procure illegal drugs / Referred to US DEA,Information / Deceptive Practice,Referred,5758 S. Maryland (DCAM),7/7/21 to 7/12/21 9:00 AM to 4:00 PM,7/12/21 4:32 PM,21-00406
A fire in a city owned trash container was extinguished by a UCPD officer / CFD responded / No property damage or injury reported,Information,Closed,1649 E. 55th St. (Public Way),7/13/21 3:10 AM,7/13/21 3:10 AM,21-00407
Secured bicycle taken from bike rack,Theft,Open,5640 S. Ellis (Eckhardt Research Center Bike Rack),7/10/21 to 7/12/21 2:30 PM to  10:30 PM,7/13/21 8:41 AM,21-00408
Subject was transported to UCMED by UCPD for evaluation,Mental Health Transport,Closed,1525 E. 53rd St. (Parking Lot),7/13/21 12:32 PM,7/13/21 12:32 PM,21-00409
Staff member found suspect narcotics among patient's belongings / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5656 S. Maryland (UCMED),7/14/21 1:15 AM,7/14/21 1:30 AM,21-00410
2 suspects attempted to hijack victim's car and struck the victim with fists / Suspects fled on foot / Witnesses described suspects who were located by UCPD officers and detained / The 2 suspects were turned over to and arrested by CPD / Victim was pronounced dead at hospital,Assist Other Agency / Homicide / Attempt Vehicular Hijacking,CPD,1228 E. 53rd St. (Public Way),7/14/21 12:40 PM,7/14/21 12:40 PM,21-00411
Number generated in error,Void,Void,Void,Void,Void,21-00412
Wallet found on the street and turned over to UCPD for safekeeping,Found Property,Closed,5300 S. Harper,7/13/21 12:00 AM,7/14/21 2:07 PM,21-00413
Domestic partners involved in physical altercation / Both parties declined prosecution,Domestic Battery,Ex. Cleared,53rd & Hyde Park Blvd. (Apartment),7/14/21 12:30 PM,7/14/21 1:43 PM,21-00414
Two subjects took multiple items of merchandise and fled the off-campus store without paying / Referred to CPD,Information / Theft,Referred,Lake Park between 52nd & 53rd,7/15/21 6:40 PM,7/15/21 6:47 PM,2021-026718
Unknown subject using a crowbar on window of off campus apartment ran off when resident appeared / Referred to CPD,Information /  Criminal Damage to Property,Referred,University between 55th & 56th,7/16/21 1:50 PM,7/16/21 2:24 PM,2120-026840
Unknown person took landscaping tools / Referred to CPD,Information / Theft,Referred,5200 S. Ellis,7/16/21 9:55 AM,7/16/21 3:34 PM,2120-026847
Suspect took property from off-campus private apartment and was apprehended by UCPD officers / Victims declined to prosecute,Burglary,Ex. Cleared,Ellis between 54th & 55th,7/16/21 5:16 PM,7/16/21 5:16 PM,21-00415
UCPD officer arrested a motorist for DUI,DUI,Arrest,1421 E. Hyde Park (Public Way),7/16/21 7:04 PM,7/16/21 7:04 PM,21-00416
Bag with patient's belongings lost,Lost Property,Closed,5700 S. Maryland (CCD),6/28/21 to 7/17/21 9:00 AM to 10:30 AM,7/17/21 10:39 AM,21-00417
Cell phone found on the ground off campus turned over to UCPD for safekeeping,Found Property,Closed,5316 S. Dorchester (Public Way),7/17/21 12:00 PM,7/17/21 2:40 PM,21-00418
Three pre-teen unsupervised children were reunited with their family,Information,Closed,5466 S. Blackstone (Public Way),7/17/21 2:47 PM,7/17/21 2:47 PM,21-00419
Staff member found a 9mm bullet among patient's belongings / Turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),7/18/21 6:28 AM,7/18/21 6:28 AM,21-00420
"Person turned over novelty ""play money"" to UCPD / Paper taken for disposal",Found Property,Closed,850 E. 61st St. (UCPD HQ),7/17/21 7:00 PM,7/18/21 12:23 PM,21-00421
Car parked in parking lot sustained a damaged windshield and deep scrapes in rear door,Criminal Damage to Vehicle,Open,6000 S. Stony Island (Parking Lot),7/18/21 2:10 PM to 2:40 PM,7/18/21 2:52 PM,21-00422
Staff member was handed a small amount of suspect narcotics by a visitor / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),7/19/21 2:32 PM,7/19/21 2:32 PM,21-00423
Person reported a sexual assault / Referred to CPD,Information / Sexual Assault,Referred,5721 S. Maryland (Comer),7/15/21 to 7/16/21 3:00 AM to 3:00 AM,7/19/21 1:50 PM,21-00424
"UCPD officer attempted to stop a traffic violator, but motorist drove off at high speed / Pursuit ended for public safety",Information,Closed,6000 S. Ellis,7/20/21 1:16 PM,7/20/21 1:16 PM,21-00425
"2 suspects armed with a handgun attempted to force victim from vehicle, but victim managed to drive off / CPD case JE308078",Information / Attempt Aggravated Vehicular Hijacking,CPD,Woodlawn between 48th & 49th,7/20/21 4:00 PM,7/20/21 4:08 PM,2021-027366
Report of chemical spill / CFD responded and found chemical was non-hazardous,Chemical Spill,Closed,950 E. 59th St. (Billings Hospital),7/20/21 4:50 PM,7/20/21 4:50 PM,21-00426
Laptop and charger taken from office,Theft,Open,950 E. 59th St. (Billings Hospital),7/20/21 to 7/21/21 10:55 AM to 7:15 AM,7/21/21 10:18 AM,21-00427
Unknown suspect took 2 bicycles from rear yard of off-campus apartment building / Referred to CPD,Information / Theft,Referred,Greenwood between 52nd & 53rd,7/20/21 3:00 PM to 3:30 PM,7/21/21 1:52 PM,2021-027507
Unknown subject struck victim's car with a tree branch and then struck victim on the arm with the branch,Battery,Open,1400 E. Midway Pl. (Public Way),7/14/21 2:15 PM to 2:30 PM,7/21/21 2:19 PM,21-00428
Report of harassing emails from an individual,Harassment by Electronic Means,Open,1101 E. 58th St. (Rosenwald Hall),7/21/21 to 7/22/21 11:30 AM to 1:10 PM,7/22/21 12:51 PM,21-00429
Two victims suffered gunshot wounds / CPD case JE310322,Information / Aggravated Battery,CPD,6357 S. Maryland (Alley),7/22/21 3:55 PM,7/22/21 3:55 PM,2021-027634
Staff member found a handgun among patient's property / Turned over to CPD,Found Property,CPD,5656 S. Maryland (UCMED),7/23/21 3:30 AM,7/23/21 3:35 AM,21-00430
Staff member received a threatening call from an unknown person,Information / Threat,Closed,5656 S. Maryland (UCMED),7/23/21 12:00 PM,7/23/21 12:03 PM,21-00431
UCPD officer assisted CPD and Chicago Animal Control by unlocking door of vehicle during a crisis with an animal in vehicle / CPD case,Assist Other Agency,CPD,5400 S. Shore Dr. (Public Way),7/23/21 10:18 AM,7/23/21 10:18 AM,2021-027719
Subject took parcels from front porch of off-campus private residence / Suspect located and arrested by UCPD officers,Theft,Arrest,Ingleside between 51st & 52nd,7/23/21 2:30 PM,7/23/21 2:35 PM,21-00432
One family member struck another before fleeing from off-campus apartment / Referred to CPD,Information / Domestic Battery,Referred,East End between 50th & 51st,7/23/21 5:45 PM,7/23/21 5:53 PM,2021-027788
"During a disturbance, a visitor spit on a staff member / Victim declined prosecution",Battery,Ex. Cleared,5730 S. Drexel (Comer Hospital),7/23/21 10:17 PM,7/23/21 10:17 PM,21-00433
UCPD officer arrested a motorist for unlawful possession of a firearm / Charged with felony possession,Unlawful Use of a Weapon,Arrest,1430 E. 53rd St. (Public Way),7/24/21 5:12 AM,7/24/21 5:12 AM,21-00434
Individual transported to UCMED for evaluation,Mental Health Transport,Closed,5420 S. Lake Park (Public Way),7/25/21 2:24 AM,7/25/21 2:24 AM,21-00435
Wallet found and turned over to UCPD for safekeeping,Found Property,Closed,5700 S. University (Public Way),7/25/21 4:32 PM,7/25/21 4:32 PM,21-00436
Boyfriend - girlfriend involved in physical altercation / Suspect fled / Victim declined police services,Information / Domestic Battery,Closed,56th & Lake Park (Metra Platform),7/25/21 9:13 PM,7/25/21 9:13 PM,2021-028099
An unknown person threw sticks at victim / UCPD located and detained suspect / Victim declined prosecution,Battery,Ex. Cleared,5505 S. Ellis (Parking Structure),7/26/21 8:40 AM,7/26/21 8:45 AM,21-00437
Unknown person(s) took tools from truck,Theft,Open,5252 S. Cottage Grove (Parking Lot),7/20/21 to 7/21/21 8:30 AM to 7:00 AM,7/26/21 9:04 AM,21-00438
2 secured bicycles taken from bike rack,Theft,Open,6031 S. Ellis (Granville-Grossman RH Bike Rack),6/28/21 to 7/22/21 6:00 PM to 2:00 PM,7/26/21 11:06 AM,21-00439
Person found wallet and turned it over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),7/26/21 12:55 PM,7/26/21 12:55 PM,21-00440
Call of shots fired / One unoccupied parked car was damaged by gunfire off-campus / No injuries reported / CPD case JE315241,Information / Criminal Damage to Property,CPD,6253 S. Cottage Grove (Rear Lot),7/26/21 7:00 PM,7/26/21 7:00 PM,2021-028213
"2 unknown subjects, one armed with a handgun, took property from a person walking on the sidewalk off-campus / CPD case JE315551",Information / Armed Robbery,CPD,5145 S. Kimbark (Public Way),7/27/21 2:55 AM,7/27/21 2:58 AM,2021-028265
Bicycle taken from bicycle room in off-campus apartment building / Referred to CPD,Information / Theft,Referred,Kenwood between 51st & 52nd,7/24/21 to 7/26/21 5:00 PM to 8:00 AM,7/27/21 4:16 PM,2021-028348
"3 unknown suspects, one armed with a handgun, took victim's 2015 dark green Ford Fusion, license plate BL63656 / CPD case",Information / Aggravated Vehicular Hijacking,CPD,5537 S. Cornell (Public Way),7/27/21 9:45 PM,7/27/21 10:25 PM,2021-028392
"3 unknown suspects, one armed with a handgun, exited a dark sedan and took a wallet from a victim walking on the sidewalk off-campus / CPD case",Information / Armed Robbery,CPD,1312 E. 53rd St. (Public Way),7/27/21 10:25 PM,7/27/21 11:20 PM,2021-028399
"4 unknown suspects, one armed with a handgun, exited a dark sedan with license plate BL63656 and confronted 2 people walking on the sidewalk off-campus / The suspects took property from one victim before reentering the car and driving off / CPD case",Information / Armed Robbery,CPD,5334 S. Woodlawn (Public Way),7/27/21 10:30 PM,7/27/21 10:36 PM,2021-028394
UC Medicine ID card found on UC Shuttle Bus / Turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),7/28/21 5:37 PM,7/28/21 5:37 PM,21-00441
Four teens attempted to take victim's bike off-campus / Referred to CPD,Information / Attempt Theft,Referred,6300 S. Kimbark (Public Way),7/28/21 4:05 PM,7/28/21 4:12 PM,2021-028495
Verbal altercation between two visitors / Peace restored,Information / Disturbance,Closed,5730 S. Drexel (Comer Hospital),7/28/21 6:45 PM,7/28/21 7:51 PM,21-00442
Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),7/29/21 1:18 PM,7/29/21 1:18 PM,21-00443
UCPD officer arrested a motorist for DUI,DUI,Arrest,5048 S. Cornell (Gas Station),7/29/21PM,7/29/21 4:48 PM,21-00444
Secured bicycle taken from bike rack,Theft,Open,810 E. 58th St. (Bike Rack),7/30/32 2:20 PM to 4:40 PM,7/30/21 4:50 PM,21-00445
Subject was arrested by UCPD officers for violation of order of protection,Violation of Order of Protection,Arrest,5730 S. Drexel (Comer Hospital),7/30/21 8:40 PM,7/30/21 8:50 PM,21-00446
Call of shots fired off-campus / Vehicle damaged by gunfire / CPD case,Criminal Damage to Property,CPD,5400 S. Drexel (Public Way),7/31/21 2:40 AM,7/31/21 2:42 AM,2021-028817
Person believes a known person took valuables from the off-campus private residence / Referred to CPD,Information / Theft,Referred,48th St. between Kenwood & Dorchester,7/28/21 to 7/31/21 1:00 PM to 8:00 AM,7/31/21 8:53 AM,2021-028834
UCPD officers detained a subject for indecent exposure on a Metra train  / Suspect turned over to Metra Police,Assist Other Agency,Metra PD,1520 E. 48th St. (Metra Platform),7/31/21 1:19 PM,7/31/21 1:19 PM,21-00447
Unknown subject displayed a handgun to a person sitting in their car off-campus / Victim drove off / Referred to CPD,Information / Aggravated Assault,Referred,5311 S. Blackstone (Public Way),7/31/21 7:19 PM,7/31/21 7:19 PM,2021-028878
Unauthorized subject ignored repeated warnings and was arrested by UCPD officers,Criminal Trespass to Land,Arrest,5656 S. Maryland (UCMED),8/1/21 7:45 AM,8/1/21 7:47 AM,21-00448
Secured bicycle taken from bike rack,Theft,Open,5825 S. University (Bike Rack),8/1/21 4:00 PM to 7:00 PM,8/2/21 8:23 AM,21-00449
Laptop found at rear of building / Turned over to UCPD for safekeeping,Found Property,Closed,1155 E. 60th St. (Harris School),8/2/21 10:44 AM,8/2/21 10:44 AM,21-00450
Secured bicycle taken from bike rack,Theft,Open,5812 S. Ellis (Surgery Brain Research Bike Rack),7/30/21 11:00 AM to 4:55 PM,8/2/21 12:13 PM,21-00451
Damage on UC owned vehicle documented,Information,Closed,6054 S. Drexel (Garage),8/2/21 7:45 AM,8/3/21 8:14 AM,21-00452
Vehicle struck rear metal stairway while parking / No injuries reported,Traffic Crash,Closed,947 E. 58th St.  (Abbott Hall),8/3/21 1:00 PM,8/3/21 1:21 PM,21-00453
"Unknown person ""keyed"" parked vehicle leaving scratches on the door",Criminal Damage to Vehicle,Open,5840 S. Maryland (Parking Structure),8/1/21 9:45 PM to 11:30 PM,8/3/21 5:46 PM,21-00454
Unknown motorist struck victim's bicycle causing damage to a wheel / CPD case JE325262,Information / Criminal Damage to Property,CPD,Maryland between 54th & 55th,8/4/21 12:50 AM,8/4/21 10:34 AM,2021-029348
"Domestic dispute, peace restored",Information / Domestic Disturbance,Closed,5721 S. Maryland (Comer Hospital),8/4/21 10:50 AM,8/4/21 11:03 AM,21-00455
Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5815 S. Maryland (Mitchell Hospital),8/4/21 10:15 AM,8/4/21 10:15 PM,21-00456
Subject seen rummaging through victim's parked car was detained by UCPD / No property taken / Victim declined prosecution,Criminal Trespass to Vehicle,Ex. Cleared,1226 E. 53rd St. (Parking Lot),8/4/21 9:25 PM,8/4/21 9:29 PM,21-00457
Person found iPhone on the sidewalk and turned it over to UCPD for safekeeping,Found Property,Closed,5700 S. Dorchester (Public Way),8/4/21 8:30 PM,8/5/21 9:33 AM,21-00458
Account of ongoing harassment by a known individual,Harassment by Electronic Means,Open,1407 E. 60th St. (CTS),6/30/21 to 8/5/21,8/5/21 10:44 AM,21-00459
Unsecured bicycle taken from bike rack,Theft,Open,900 E. 57th St. (Knapp Center Bike Rack),8/5/21 7:00 AM to 7:00 PM,8/5/21 8:53 PM,21-00460
Unknown person ran out of off-campus store without paying for merchandise / Referred to CPD,Information / Theft,Referred,1554 E. 55th St.,8/5/21 9:45 PM,8/5/21 9:49 PM,2021-029530
UCPD officers located and arrested a suspect for taking merchandise from off-campus store without paying,Theft,Arrest,1554 E. 55th St.,8/5/21 11:30 PM,8/5/21 11:32 PM,21-00461
Staff member found 3 ammunition casings among patient's belongings / Turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),8/6/21 10:53 AM,8/6/21 10:53 AM,21-00462
Person found a credit card in the Shopping Center / Turned over to UCPD for safekeeping,Found Property,Closed,1528 E. 55th St. (Shopping Center),8/6/21 10:30 AM,8/6/21 10:53 AM,21-00463
Staff member reports unknown person took cash from his unattended wallet left on desk top,Theft,Open,5758 S. Maryland (DCAM),8/5/21 1:45 PM,8/6/21 12:31 PM,21-00464
Victim walking on the sidewalk off-campus struck by known suspect who fled the scene / Referred to CPD,Information / Battery,CPD,5300 S. Dorchester (Public Way),8/6/21 8:45 PM,8/6/21 8:51 PM,2021-029667
UC owned vehicle involved in property damage crash / No injuries reported,Traffic Crash,Closed,5015 S. Blackstone (Parking Lot),8/7/21 1:30 PM,8/7/21 2:31 PM,21-00465
Person transported to UCMED for evaluation,Mental Health Transport,Closed,Ellis between 61st & 62nd,8/8/21 12:10 AM,8/8/21 12:10 AM,21-00466
Unknown subject took merchandise and left store without paying / Referred to CPD,Information / Theft,CPD,1554 E. 55th St (Walgreens),8/9/21 12:24 AM,8/9/21 12:24 AM,2021-029901
Rock propelled by lawn mowing equipment broke window of passing UC Shuttle bus,Damage to Property,Closed,6300 S. Ellis (Public Way),8/9/21 12:30 PM,8/9/21 12:32 PM,21-00467
Driver's license found and turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St.,8/9/21 12:13 PM,8/9/21 12:13 PM,21-00468
"Subject, without provocation, struck store employee with fist / Suspect arrested by UCPD and taken to UCMED for mental evaluation",Battery,Arrest,1226 E. 53rd St. (Store),8/9/21 12:50 PM,8/9/21 12:54 PM,21-00469
Patient threatened staff member with bodily harm arrested by UCPD,Assault,Arrest,800 E. 55th St. (Friend Center),8/9/21 4:05 PM,8/9/21 4:10 PM,21-00470
"While investigating traffic crash, UCPD officer arrested motorist for DUI",DUI,Arrest,5334 S. Ellis (Public Way),8/9/21 10:20 PM,8/9/21 10:25 PM,21-00471
"Two unknown suspects, one armed with a handgun , took keys from victim standing on the street off-campus / Suspects entered victim's 2013 Toyota Camry and drove off / CPD case JE332381",Information / Armed Robbery,CPD,5300 S. Ellis  (Public Way),8/10/21 7:30 AM,8/10/21 7:40 AM,2021-030072
Person turned in a set of earrings they found / Inventoried for safekeeping at UCPD,Found Property,Closed,850 E. 61st St. (UCPD HQ),8/10/21 1:48 PM,8/10/21 1:48 PM,21-00472
Person reported their neighbor punched victim in the face during a disagreement off-campus / Referred to CPD,Information / Battery,Referred,5200 S. Ellis (Public Way),8/9/21 10:15 PM,8/10/21 2:53 PM,2021-030124
2 secured bicycles taken from bike rack,Theft,Open,6031 S. Ellis (Granville-Grossman RH Bike Rack),8/7/21 to 8/9/21 12:00 PM to 8:00 PM,8/10/21 5:09 PM,21-00473
